id,name,price_currency,price_amount,in_stock,stock_text,product_url,source_page,source_rank,extracted_at
"P0001","A Light in the Attic","GBP",51.77,true,"In stock","https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html",1,1,"2026-04-20T21:17:21.960Z"
"P0002","Tipping the Velvet","GBP",53.74,true,"In stock","https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html",1,2,"2026-04-20T21:17:21.960Z"
"P0003","Soumission","GBP",50.1,true,"In stock","https://books.toscrape.com/catalogue/soumission_998/index.html",1,3,"2026-04-20T21:17:21.960Z"
"P0004","Sharp Objects","GBP",47.82,true,"In stock","https://books.toscrape.com/catalogue/sharp-objects_997/index.html",1,4,"2026-04-20T21:17:21.960Z"
"P0005","Sapiens: A Brief History of Humankind","GBP",54.23,true,"In stock","https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html",1,5,"2026-04-20T21:17:21.960Z"
"P0006","The Requiem Red","GBP",22.65,true,"In stock","https://books.toscrape.com/catalogue/the-requiem-red_995/index.html",1,6,"2026-04-20T21:17:21.960Z"
"P0007","The Dirty Little Secrets of Getting Your Dream Job","GBP",33.34,true,"In stock","https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html",1,7,"2026-04-20T21:17:21.960Z"
"P0008","The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","GBP",17.93,true,"In stock","https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html",1,8,"2026-04-20T21:17:21.960Z"
"P0009","The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","GBP",22.6,true,"In stock","https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html",1,9,"2026-04-20T21:17:21.960Z"
"P0010","The Black Maria","GBP",52.15,true,"In stock","https://books.toscrape.com/catalogue/the-black-maria_991/index.html",1,10,"2026-04-20T21:17:21.960Z"
"P0011","Starving Hearts (Triangular Trade Trilogy, #1)","GBP",13.99,true,"In stock","https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html",1,11,"2026-04-20T21:17:21.960Z"
"P0012","Shakespeare's Sonnets","GBP",20.66,true,"In stock","https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html",1,12,"2026-04-20T21:17:21.960Z"
"P0013","Set Me Free","GBP",17.46,true,"In stock","https://books.toscrape.com/catalogue/set-me-free_988/index.html",1,13,"2026-04-20T21:17:21.960Z"
"P0014","Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)","GBP",52.29,true,"In stock","https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html",1,14,"2026-04-20T21:17:21.960Z"
"P0015","Rip it Up and Start Again","GBP",35.02,true,"In stock","https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html",1,15,"2026-04-20T21:17:21.960Z"
"P0016","Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","GBP",57.25,true,"In stock","https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html",1,16,"2026-04-20T21:17:21.960Z"
"P0017","Olio","GBP",23.88,true,"In stock","https://books.toscrape.com/catalogue/olio_984/index.html",1,17,"2026-04-20T21:17:21.960Z"
"P0018","Mesaerion: The Best Science Fiction Stories 1800-1849","GBP",37.59,true,"In stock","https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html",1,18,"2026-04-20T21:17:21.960Z"
"P0019","Libertarianism for Beginners","GBP",51.33,true,"In stock","https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html",1,19,"2026-04-20T21:17:21.960Z"
"P0020","It's Only the Himalayas","GBP",45.17,true,"In stock","https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html",1,20,"2026-04-20T21:17:21.960Z"
"P0021","In Her Wake","GBP",12.84,true,"In stock","https://books.toscrape.com/catalogue/in-her-wake_980/index.html",2,1,"2026-04-20T21:17:23.125Z"
"P0022","How Music Works","GBP",37.32,true,"In stock","https://books.toscrape.com/catalogue/how-music-works_979/index.html",2,2,"2026-04-20T21:17:23.125Z"
